key	zh-Hans
ItemDescription_123004	基础雕刻材料。用于雕刻物品,根据装备类型随机授予两种属性提升中的一种。
ItemDescription_124001	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_124002	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_124003	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_124004	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_125001	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_125002	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_125003	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_125004	中级雕刻材料。用于雕刻物品,根据装备类型随机授予两种特殊属性提升中的一种。
ItemDescription_126001	高级雕刻材料。用于雕刻物品,根据装备类型随机授予两种强力属性提升中的一种。
ItemDescription_126002	高级雕刻材料。用于雕刻物品,根据装备类型随机授予两种强力属性提升中的一种。
ItemDescription_126003	高级雕刻材料。用于雕刻物品,根据装备类型随机授予两种强力属性提升中的一种。
ItemDescription_126004	高级雕刻材料。用于雕刻物品,根据装备类型随机授予两种强力属性提升中的一种。
ItemDescription_127001	高级雕刻材料。用于雕刻物品,根据装备类型随机授予两种强力属性提升中的一种。
ItemDescription_127002	高级雕刻材料。用于雕刻物品,根据装备类型随机授予两种强力属性提升中的一种。
ItemDescription_128001	顶级雕刻材料。用于雕刻物品,根据装备类型随机授予两种巨大属性提升中的一种。
ItemDescription_128002	顶级雕刻材料。用于雕刻物品,根据装备类型随机授予两种巨大属性提升中的一种。
ItemDescription_129001	顶级雕刻材料。用于雕刻物品,根据装备类型随机授予两种巨大属性提升中的一种。
ItemDescription_129002	顶级雕刻材料。用于雕刻物品,根据装备类型随机授予两种巨大属性提升中的一种。
ItemDescription_130001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_131001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_132001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_133001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_134001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_135001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_136001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_137001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_138001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_139001	蕴含特殊力量的卷轴。铭刻于物品上,随机授予多种属性提升中的一种。
ItemDescription_140001	可以用来制作某物的普通材料。
ItemDescription_140002	可以用来制作某物的普通材料。
ItemDescription_140003	可以用来制作某些东西的普通材料。
ItemDescription_140004	可以用来制作某物的常见材料。
ItemDescription_141001	可用于制作某物的普通材料。
ItemDescription_141002	可以用来制作某物的普通材料。
ItemDescription_142001	可以用来制作某物的材料。
ItemDescription_142002	可以用来制作某些东西的材料。
ItemDescription_143001	可以用来制作某物的材料。
ItemDescription_143002	可用于制作某物的材料。
ItemDescription_144001	可以用来制作某物的中级材料。
ItemDescription_144002	可以用来制作某物的中级材料。
ItemDescription_145001	可以用来制作某些东西的中级材料。
ItemDescription_145002	可以用来制作某物的中级材料。
ItemDescription_146001	可用于制作某物的高级材料。
ItemDescription_146002	可以用来制作某物的高级材料。
ItemDescription_147001	可以用来制作某物的高级材料。
ItemDescription_147002	可以用来制作某些东西的高级材料。
ItemDescription_148001	可以用来制作某物的最高级材料。
ItemDescription_148002	可用于制作某物的最高级材料。
ItemDescription_149001	可以用来制作某物的最高级材料。
ItemDescription_149002	可以用来制作某物的最高级材料。
ItemDescription_160001	纪念硬币。怀着虔诚的心愿，投入魔方之中吧。
ItemDescription_160002	纪念硬币。怀着迫切的心愿，将它投入魔方吧。
ItemDescription_160003	纪念金币。怀着迫切的心愿投入魔方吧。
ItemDescription_160004	纪念硬币。带着迫切的心情投入魔方吧。
ItemDescription_160005	纪念硬币。带着迫切的心情，将其投入魔方吧。
ItemDescription_160006	纪念硬币。怀着虔诚的心愿，投入魔方之中吧。
ItemDescription_160007	纪念硬币。怀着迫切的心愿，将它投入魔方吧。
ItemDescription_160008	纪念金币。怀着迫切的心愿投入魔方吧。
ItemDescription_160009	纪念硬币。带着迫切的心情投入魔方吧。
ItemDescription_160010	纪念硬币。带着迫切的心情，将其投入魔方吧。
ItemDescription_190001	召唤普通难度首领所需的材料。
ItemDescription_190002	召唤噩梦难度首领所需的材料。
ItemDescription_190003	召唤地狱难度首领所需的材料。
ItemDescription_190004	召唤折磨难度首领所需的材料。
ItemName_110001	小红宝石
ItemName_110002	小蓝宝石
ItemName_110003	小黄玉
ItemName_110004	小绿宝石
ItemName_110005	小紫晶
ItemName_111001	黑曜石碎片
ItemName_111002	珊瑚碎片
ItemName_111003	翡翠石
ItemName_111004	琥珀宝石
ItemName_112001	红宝石
ItemName_112002	蓝宝石
ItemName_112003	黄玉
ItemName_112004	祖母绿
ItemName_112005	紫水晶
ItemName_113001	水晶石英
ItemName_113002	珍珠
ItemName_113003	绿松石
ItemName_113004	石榴石
ItemName_114001	钻石
ItemName_114002	蛋白石
ItemName_114003	青金石
ItemName_114004	黑珍珠
ItemName_115001	奥术水晶
ItemName_115002	神秘黄玉
ItemName_115003	附魔红宝石
ItemName_115004	星光蓝宝石
ItemName_116001	虚空蛋白石
ItemName_116002	星辰钻石
ItemName_116003	幽灵祖母绿
ItemName_116004	暮光紫水晶
ItemName_117001	天界珍珠
ItemName_117002	龙晶石
ItemName_118001	虚空水晶
ItemName_118002	深渊珍珠
ItemName_119001	以太宝石
ItemName_119002	混沌钻石
ItemName_120001	哥布林兽皮
ItemName_120002	骸骨
ItemName_120003	史莱姆果冻
ItemName_121001	狼牙
ItemName_121002	蜘蛛丝
ItemName_121003	毒草
ItemName_121004	治愈草药
ItemName_122001	蝙蝠翼膜
ItemName_122002	食人魔之血
ItemName_122003	蘑菇孢子
ItemName_122004	古树树液
ItemName_123001	骷髅
ItemName_123002	鹰身女妖羽毛
ItemName_123003	曼德拉草根
ItemName_123004	夜影精华
ItemName_124001	毒蜥蜴鳞片
ItemName_124002	飞龙之爪
ItemName_124003	骰子
ItemName_124004	恶魔之血
ItemName_125001	牛头人之角
ItemName_125002	狮鹫鸟喙
ItemName_125003	不死鸟之灰
ItemName_125004	龙胆汁
ItemName_126001	幽灵精华
ItemName_126002	海妖墨汁
ItemName_126003	泰坦骨髓
ItemName_126004	虚空精华
ItemName_127001	深渊黏液
ItemName_127002	混沌孢子
ItemName_128001	太初树液
ItemName_128002	不可名状之毒
ItemName_129001	Chaso骰子
ItemName_129002	虚空触须
ItemName_130001	普通铭文卷轴
ItemName_131001	非凡铭文卷轴
ItemName_132001	稀有铭文卷轴
ItemName_133001	传说铭文卷轴
ItemName_134001	不朽铭文卷轴
ItemName_135001	奥术铭文卷轴
ItemName_136001	超越铭文卷轴
ItemName_137001	天界铭文卷轴
ItemName_138001	神圣铭文卷轴
ItemName_139001	宇宙铭文卷轴
ItemName_140001	木材
ItemName_140002	石头
ItemName_140003	皮革
ItemName_140004	铜块
ItemName_141001	青铜锭
ItemName_141002	铁锭
ItemName_142001	银锭
ItemName_142002	金锭
ItemName_143001	星尘锭
ItemName_143002	虚空铁
ItemName_144001	血石
ItemName_144002	雷鸣石
ItemName_145001	混沌碎片
ItemName_145002	奥术矿石
ItemName_146001	黑钢锭
ItemName_146002	山铜矿石
ItemName_147001	月长石
ItemName_147002	太阳石
ItemName_148001	秘银矿石
ItemName_148002	以太锭
ItemName_149001	精金矿石
ItemName_149002	永恒锭
ItemName_150001	普通合成材料
ItemName_150002	优秀合成材料
ItemName_150003	稀有合成材料
ItemName_150004	传说合成材料
ItemName_150005	不朽合成材料
ItemName_150006	奥秘合成材料
ItemName_150007	超凡合成材料
ItemName_150008	天界合成材料
ItemName_150009	神圣合成材料
ItemName_150010	宇宙合成材料
ItemName_160001	王国一周年纪念币
ItemName_160002	帝国一周年纪念币
ItemName_160003	王国十周年纪念币
ItemName_160004	帝国十周年纪念币
ItemName_160005	王国50周年纪念币
ItemName_160006	帝国建国50周年纪念币
ItemName_160007	王国百年纪念币
ItemName_160008	帝国百年纪念币
ItemName_160009	神圣王国1000周年纪念币
ItemName_160010	永恒帝国千年纪念硬币
ItemName_190001	灵魂石 - 普通
ItemName_190002	灵魂石 - 噩梦
ItemName_190003	灵魂石 - 地狱
ItemName_190004	灵魂石 - 折磨
ItemName_300001	长剑
ItemName_300002	弯刀
ItemName_300003	细剑
ItemName_300004	长阔剑
ItemName_300005	大剑
ItemName_300006	重型刀刃
ItemName_300007	骑士之剑
ItemName_300008	指挥官之剑
ItemName_300009	符文剑
ItemName_300010	传说之剑
ItemName_300011	命运之剑
ItemName_300012	英雄之剑
ItemName_300013	风暴之剑
ItemName_300014	复仇之剑
ItemName_300015	虚空之刃
ItemName_300016	水晶刀刃
ItemName_300017	次元之剑
ItemName_300018	暗影剑
ItemName_300019	永恒之剑
ItemName_300020	辉耀之剑
ItemName_301011	长剑
ItemName_301012	长剑
ItemName_301021	弯刀
ItemName_301022	弯刀
ItemName_301031	细剑
ItemName_301032	细剑
ItemName_301041	长阔剑
ItemName_301042	长阔剑
ItemName_301051	大剑
ItemName_301052	大剑
ItemName_301061	重型刀刃
ItemName_301062	重型刀刃
ItemName_301071	骑士之剑
ItemName_301072	骑士之剑
ItemName_301081	指挥官之剑
ItemName_301082	指挥官之剑
ItemName_301091	符文剑
ItemName_301092	符文剑
ItemName_301101	传说之剑
ItemName_301102	传说之剑
ItemName_301111	命运之剑
ItemName_301112	命运之剑
ItemName_301121	英雄之剑
ItemName_301122	英雄之剑
ItemName_301131	风暴之剑
ItemName_301132	风暴之剑
ItemName_301141	复仇之剑
ItemName_301142	复仇之剑
ItemName_301151	虚空之刃
ItemName_301152	虚空之刃
ItemName_301161	水晶刀刃
ItemName_301162	水晶刀刃
ItemName_301171	次元之剑
ItemName_301172	次元之剑
ItemName_301181	暗影剑
ItemName_301182	暗影剑
ItemName_301191	永恒之剑
ItemName_301192	永恒之剑
ItemName_302011	长剑
ItemName_302012	长剑
ItemName_302021	弯刀
ItemName_302022	弯刀
ItemName_302031	细剑
ItemName_302032	细剑
ItemName_302041	长阔剑
ItemName_302042	长阔剑
ItemName_302051	大剑
ItemName_302052	大剑
ItemName_302061	重型刀刃
ItemName_302062	重型刀刃
ItemName_302071	骑士之剑
ItemName_302072	骑士之剑
ItemName_302081	指挥官之剑
ItemName_302082	指挥官之剑
ItemName_302091	符文剑
ItemName_302092	符文剑
ItemName_302101	传说之剑
ItemName_302102	传说之剑
ItemName_302111	命运之剑
ItemName_302112	命运之剑
ItemName_302121	英雄之剑
ItemName_302122	英雄之剑
ItemName_302131	风暴之剑
ItemName_302132	风暴之剑
ItemName_302141	复仇之剑
ItemName_302142	复仇之剑
ItemName_302151	虚空之刃
ItemName_302152	虚空之刃
ItemName_302161	水晶刀刃
ItemName_302162	水晶刀刃
ItemName_302171	次元之剑
ItemName_302172	次元之剑
ItemName_302181	暗影剑
ItemName_302182	暗影剑
ItemName_302191	永恒之剑
ItemName_302192	永恒之剑
ItemName_303011	长剑
ItemName_303012	长剑
ItemName_303021	弯刀
ItemName_303022	弯刀
ItemName_303031	细剑
ItemName_303032	细剑
ItemName_303041	长阔剑
ItemName_303042	长阔剑
ItemName_303051	大剑
ItemName_303052	大剑
ItemName_303061	重型刀刃
ItemName_303062	重型刀刃
ItemName_303071	骑士之剑
ItemName_303072	骑士之剑
ItemName_303081	指挥官之剑
ItemName_303082	指挥官之剑
ItemName_303091	符文剑
ItemName_303092	符文剑
ItemName_303101	传说之剑
ItemName_303102	传说之剑
ItemName_303111	命运之剑
ItemName_303112	命运之剑
ItemName_303121	英雄之剑
ItemName_303122	英雄之剑
ItemName_303131	风暴之剑
ItemName_303132	风暴之剑
ItemName_303141	复仇之剑
ItemName_303142	复仇之剑
ItemName_303151	虚空之刃
ItemName_303152	虚空之刃
ItemName_303161	水晶刀刃
ItemName_303162	水晶刀刃
ItemName_303171	次元之剑
ItemName_303172	次元之剑
ItemName_303181	暗影剑
ItemName_303182	暗影剑
ItemName_303191	永恒之剑
ItemName_303192	永恒之剑
ItemName_304011	长剑
ItemName_304012	长剑
ItemName_304021	弯刀
ItemName_304022	弯刀
ItemName_304031	细剑
ItemName_304032	细剑
ItemName_304041	长阔剑
ItemName_304042	长阔剑
ItemName_304051	大剑
ItemName_304052	大剑
ItemName_304061	重型刀刃
ItemName_304062	重型刀刃
ItemName_304071	骑士之剑
ItemName_304072	骑士之剑
ItemName_304081	指挥官之剑
ItemName_304082	指挥官之剑
ItemName_304091	符文剑
ItemName_304092	符文剑
ItemName_304101	传说之剑
ItemName_304102	传说之剑
ItemName_304111	命运之剑
ItemName_304112	命运之剑
ItemName_304121	英雄之剑
ItemName_304122	英雄之剑
ItemName_304131	风暴之剑
ItemName_304132	风暴之剑
ItemName_304141	复仇之剑
ItemName_304142	复仇之剑
ItemName_304151	虚空之刃
ItemName_304152	虚空之刃
ItemName_304161	水晶刀刃
ItemName_304162	水晶刀刃
ItemName_304171	次元之剑
ItemName_304172	次元之剑
ItemName_304181	暗影剑
ItemName_304182	暗影剑
ItemName_304191	永恒之剑
ItemName_304192	永恒之剑
ItemName_305041	长阔剑
ItemName_305042	长阔剑
ItemName_305051	大剑
ItemName_305052	大剑
ItemName_305061	重型刀刃
ItemName_305062	重型刀刃
ItemName_305071	骑士之剑
ItemName_305072	骑士之剑
ItemName_305081	指挥官之剑
ItemName_305082	指挥官之剑
ItemName_305091	符文剑
ItemName_305092	符文剑
ItemName_305101	传说之剑
ItemName_305102	传说之剑
ItemName_305111	命运之剑
ItemName_305112	命运之剑
ItemName_305121	英雄之剑
ItemName_305122	英雄之剑
ItemName_305131	风暴之剑
ItemName_305132	风暴之剑
ItemName_305141	复仇之剑
ItemName_305142	复仇之剑
ItemName_305151	虚空之刃
ItemName_305152	虚空之刃
ItemName_305161	水晶刀刃
ItemName_305162	水晶刀刃
ItemName_305171	次元之剑
ItemName_305172	次元之剑
ItemName_305181	暗影剑
ItemName_305182	暗影剑
ItemName_305191	永恒之剑
ItemName_305192	永恒之剑
ItemName_306061	重型刀刃
ItemName_306062	重型刀刃
ItemName_306071	骑士之剑
ItemName_306072	骑士之剑
ItemName_306081	指挥官之剑
ItemName_306082	指挥官之剑
ItemName_306091	符文剑
ItemName_306092	符文剑
ItemName_306101	传说之剑
ItemName_306102	传说之剑
ItemName_306111	命运之剑
ItemName_306112	命运之剑
ItemName_306121	英雄之剑
ItemName_306122	英雄之剑
ItemName_306131	风暴之剑
ItemName_306132	风暴之剑
ItemName_306141	复仇之剑
ItemName_306142	复仇之剑
ItemName_306151	虚空之刃
ItemName_306152	虚空之刃
ItemName_306161	水晶刀刃
ItemName_306162	水晶刀刃
ItemName_306171	次元之剑
ItemName_306172	次元之剑
ItemName_306181	暗影剑
ItemName_306182	暗影剑
ItemName_306191	永恒之剑
ItemName_306192	永恒之剑
ItemName_307081	指挥官之剑
ItemName_307082	指挥官之剑
ItemName_307091	符文剑
ItemName_307092	符文剑
ItemName_307101	传说之剑
ItemName_307102	传说之剑
ItemName_307111	命运之剑
ItemName_307112	命运之剑
ItemName_307121	英雄之剑
ItemName_307122	英雄之剑
ItemName_307131	风暴之剑
ItemName_307132	风暴之剑
ItemName_307141	复仇之剑
ItemName_307142	复仇之剑
ItemName_307151	虚空之刃
ItemName_307152	虚空之刃
ItemName_307161	水晶刀刃
ItemName_307162	水晶刀刃
ItemName_307171	次元之剑
ItemName_307172	次元之剑
ItemName_307181	暗影剑
ItemName_307182	暗影剑
ItemName_307191	永恒之剑
ItemName_307192	永恒之剑
ItemName_308101	传说之剑
ItemName_308102	传说之剑
ItemName_308111	命运之剑
ItemName_308112	命运之剑
ItemName_308121	英雄之剑
ItemName_308122	英雄之剑
ItemName_308131	风暴之剑
ItemName_308132	风暴之剑
ItemName_308141	复仇之剑
ItemName_308142	复仇之剑
ItemName_308151	虚空之刃
ItemName_308152	虚空之刃
ItemName_308161	水晶刀刃
ItemName_308162	水晶刀刃
ItemName_308171	次元之剑
ItemName_308172	次元之剑
ItemName_308181	暗影剑
ItemName_308182	暗影剑
ItemName_308191	永恒之剑
ItemName_308192	永恒之剑
ItemName_309121	英雄之剑
ItemName_309122	英雄之剑
ItemName_309131	风暴之剑
ItemName_309132	风暴之剑
ItemName_309141	复仇之剑
ItemName_309142	复仇之剑
ItemName_309151	虚空之刃
ItemName_309152	虚空之刃
ItemName_309161	水晶刀刃
ItemName_309162	水晶刀刃
ItemName_309171	次元之剑
ItemName_309172	次元之剑
ItemName_309181	暗影剑
ItemName_309182	暗影剑
ItemName_309191	永恒之剑
ItemName_309192	永恒之剑
ItemName_310001	短弓
ItemName_310002	狩猎弓
ItemName_310003	长弓
ItemName_310004	复合弓
ItemName_310005	战弓
ItemName_310006	绯红之弓
ItemName_310007	黄昏之弓
ItemName_310008	翡翠弓
ItemName_310009	精英弓
ItemName_310010	符文弓
ItemName_310011	神秘之弓
ItemName_310012	迅捷弓
ItemName_310013	远古弓
ItemName_310014	无限弓
ItemName_310015	混沌之弓
ItemName_310016	暴风之弓
ItemName_310017	暗影之弓
ItemName_310018	暴风弓
ItemName_310019	永恒之弓
ItemName_310020	辉耀弓
ItemName_311011	短弓
ItemName_311012	短弓
ItemName_311021	狩猎弓
ItemName_311022	狩猎弓
ItemName_311031	长弓
ItemName_311032	长弓
ItemName_311041	复合弓
ItemName_311042	复合弓
ItemName_311051	战弓
ItemName_311052	战弓
ItemName_311061	绯红之弓
ItemName_311062	绯红之弓
ItemName_311071	黄昏之弓
ItemName_311072	黄昏之弓
ItemName_311081	翡翠弓
ItemName_311082	翡翠弓
ItemName_311091	精英弓
ItemName_311092	精英弓
ItemName_311101	符文弓
ItemName_311102	符文弓
ItemName_311111	神秘之弓
ItemName_311112	神秘之弓
ItemName_311121	迅捷弓
ItemName_311122	迅捷弓
ItemName_311131	远古弓
ItemName_311132	远古弓
ItemName_311141	无限弓
ItemName_311142	无限弓
ItemName_311151	混沌之弓
ItemName_311152	混沌之弓
ItemName_311161	暴风之弓
ItemName_311162	暴风之弓
ItemName_311171	暗影之弓
ItemName_311172	暗影之弓
ItemName_311181	暴风弓
ItemName_311182	暴风弓
ItemName_311191	永恒之弓
ItemName_311192	永恒之弓
ItemName_312011	短弓
ItemName_312012	短弓
ItemName_312021	狩猎弓
ItemName_312022	狩猎弓
ItemName_312031	长弓
ItemName_312032	长弓
ItemName_312041	复合弓
ItemName_312042	复合弓
ItemName_312051	战弓
ItemName_312052	战弓
ItemName_312061	绯红之弓
ItemName_312062	绯红之弓
ItemName_312071	黄昏之弓
ItemName_312072	黄昏之弓
ItemName_312081	翡翠弓
ItemName_312082	翡翠弓
ItemName_312091	精英弓
ItemName_312092	精英弓
ItemName_312101	符文弓
ItemName_312102	符文弓
ItemName_312111	神秘之弓
ItemName_312112	神秘之弓
ItemName_312121	迅捷弓
ItemName_312122	迅捷弓
ItemName_312131	远古弓
ItemName_312132	远古弓
ItemName_312141	无限弓
ItemName_312142	无限弓
ItemName_312151	混沌之弓
ItemName_312152	混沌之弓
ItemName_312161	暴风之弓
ItemName_312162	暴风之弓
ItemName_312171	暗影之弓
ItemName_312172	暗影之弓
ItemName_312181	暴风弓
ItemName_312182	暴风弓
ItemName_312191	永恒之弓
ItemName_312192	永恒之弓
ItemName_313011	短弓
ItemName_313012	短弓
ItemName_313021	狩猎弓
ItemName_313022	狩猎弓
ItemName_313031	长弓
ItemName_313032	长弓
ItemName_313041	复合弓
ItemName_313042	复合弓
ItemName_313051	战弓
ItemName_313052	战弓
ItemName_313061	绯红之弓
ItemName_313062	绯红之弓
ItemName_313071	黄昏之弓
ItemName_313072	黄昏之弓
ItemName_313081	翡翠弓
ItemName_313082	翡翠弓
ItemName_313091	精英弓
ItemName_313092	精英弓
ItemName_313101	符文弓
ItemName_313102	符文弓
ItemName_313111	神秘之弓
ItemName_313112	神秘之弓
ItemName_313121	迅捷弓
ItemName_313122	迅捷弓
ItemName_313131	远古弓
ItemName_313132	远古弓
ItemName_313141	无限弓
ItemName_313142	无限弓
ItemName_313151	混沌之弓
ItemName_313152	混沌之弓
ItemName_313161	暴风之弓
ItemName_313162	暴风之弓
ItemName_313171	暗影之弓
ItemName_313172	暗影之弓
ItemName_313181	暴风弓
ItemName_313182	暴风弓
ItemName_313191	永恒之弓
ItemName_313192	永恒之弓
ItemName_314011	短弓
ItemName_314012	短弓
ItemName_314021	狩猎弓
ItemName_314022	狩猎弓
ItemName_314031	长弓
ItemName_314032	长弓
ItemName_314041	复合弓
ItemName_314042	复合弓
ItemName_314051	战弓
ItemName_314052	战弓
ItemName_314061	绯红之弓
ItemName_314062	绯红之弓
ItemName_314071	黄昏之弓
ItemName_314072	黄昏之弓
ItemName_314081	翡翠弓
ItemName_314082	翡翠弓
ItemName_314091	精英弓
ItemName_314092	精英弓
ItemName_314101	符文弓
ItemName_314102	符文弓
ItemName_314111	神秘之弓
ItemName_314112	神秘之弓
ItemName_314121	迅捷弓
ItemName_314122	迅捷弓
ItemName_314131	远古弓
ItemName_314132	远古弓
ItemName_314141	无限弓
ItemName_314142	无限弓
ItemName_314151	混沌之弓
ItemName_314152	混沌之弓
ItemName_314161	暴风之弓
ItemName_314162	暴风之弓
ItemName_314171	暗影之弓
ItemName_314172	暗影之弓
ItemName_314181	暴风弓
ItemName_314182	暴风弓
ItemName_314191	永恒之弓
ItemName_314192	永恒之弓
ItemName_315041	复合弓
ItemName_315042	复合弓
ItemName_315051	战弓
ItemName_315052	战弓
ItemName_315061	绯红之弓
ItemName_315062	绯红之弓
ItemName_315071	黄昏之弓
ItemName_315072	黄昏之弓
ItemName_315081	翡翠弓
ItemName_315082	翡翠弓
ItemName_315091	精英弓
ItemName_315092	精英弓
ItemName_315101	符文弓
ItemName_315102	符文弓
ItemName_315111	神秘之弓
ItemName_315112	神秘之弓
ItemName_315121	迅捷弓
ItemName_315122	迅捷弓
ItemName_315131	远古弓
