# TaskBarHeroSpeed market top lock list
# generated_at_utc=2026-06-30T02:27:40+00:00
# source_market=https://raw.githubusercontent.com/WarmBed/TBH-DPS-dashboard/data/market.json
# market_built_at=1782784288103
# limit=100
# item_ids=195
item_id	price_cents	rank	market_hash	name_zh_hans
535041	208	49	Knight Boots (Arcana) A	骑士靴 (至宝) A
535042	208	49	Knight Boots (Arcana) A	骑士靴 (至宝) A
316111	204	50	Mystic Bow (Beyond) A	神秘之弓 (超凡) A
316112	204	50	Mystic Bow (Beyond) A	神秘之弓 (超凡) A
326171	200	51	Tempest Staff (Beyond) A	暴风之杖 (超凡) A
326172	200	51	Tempest Staff (Beyond) A	暴风之杖 (超凡) A
345051	197	52	Exceptional Crossbow (Arcana) A	卓越弩 (至宝) A
345052	197	52	Exceptional Crossbow (Arcana) A	卓越弩 (至宝) A
605171	189	53	Ethereal Amulet (Arcana) A	以太护符 (至宝) A
605172	189	53	Ethereal Amulet (Arcana) A	以太护符 (至宝) A
454021	189	54	Leather Hatchet (Immortal) A	皮革手斧 (不朽) A
454022	189	54	Leather Hatchet (Immortal) A	皮革手斧 (不朽) A
160006	187	55	Empire 50th Anniversary Coin	帝国建国50周年纪念币
635051	180	56	Platinum Bracer (Arcana) A	铂金护腕 (至宝) A
635052	180	56	Platinum Bracer (Arcana) A	铂金护腕 (至宝) A
346111	176	57	Mystic Crossbow (Beyond) A	神秘弩 (超凡) A
346112	176	57	Mystic Crossbow (Beyond) A	神秘弩 (超凡) A
626091	174	58	Amethyst Ring (Beyond) A	紫水晶戒指 (超凡) A
626092	174	58	Amethyst Ring (Beyond) A	紫水晶戒指 (超凡) A
426071	168	59	Rune Orb (Beyond) A	符文宝珠 (超凡) A
426072	168	59	Rune Orb (Beyond) A	符文宝珠 (超凡) A
605051	166	60	Platinum Amulet (Arcana) A	白金护符 (至宝) A
605052	166	60	Platinum Amulet (Arcana) A	白金护符 (至宝) A
605111	163	61	Emerald Amulet (Arcana) A	翡翠护符 (至宝) A
605112	163	61	Emerald Amulet (Arcana) A	翡翠护符 (至宝) A
346171	161	62	Dimensional Crossbow (Beyond) A	次元弩 (超凡) A
346172	161	62	Dimensional Crossbow (Beyond) A	次元弩 (超凡) A
455041	161	63	Steel Hatchet (Arcana) A	钢铁手斧 (至宝) A
455042	161	63	Steel Hatchet (Arcana) A	钢铁手斧 (至宝) A
436171	157	64	Dimensional Tome (Beyond) A	次元魔法书 (超凡) A
436172	157	64	Dimensional Tome (Beyond) A	次元魔法书 (超凡) A
444031	154	65	Hunter's Bolt (Immortal) A	猎人弩箭 (不朽) A
444032	154	65	Hunter's Bolt (Immortal) A	猎人弩箭 (不朽) A
605041	150	66	Gold Amulet (Arcana) A	黄金护身符 (至宝) A
605042	150	66	Gold Amulet (Arcana) A	黄金护身符 (至宝) A
456141	146	67	Limitless Hatchet (Beyond) A	无限手斧 (超凡) A
456142	146	67	Limitless Hatchet (Beyond) A	无限手斧 (超凡) A
446141	140	68	Haste Bolt (Beyond) A	迅捷弩箭 (超凡) A
446142	140	68	Haste Bolt (Beyond) A	迅捷弩箭 (超凡) A
443021	135	69	Fear Bolt (Legendary) A	恐惧弩矢 (传奇) A
443022	135	69	Fear Bolt (Legendary) A	恐惧弩矢 (传奇) A
605071	133	70	Moonstone Pendant (Arcana) A	月光石吊坠 (至宝) A
605072	133	70	Moonstone Pendant (Arcana) A	月光石吊坠 (至宝) A
615111	133	71	Sapphire Earring (Arcana) A	蓝宝石耳环 (至宝) A
615112	133	71	Sapphire Earring (Arcana) A	蓝宝石耳环 (至宝) A
436141	133	72	Warrior's Tome (Beyond) A	战士魔法书 (超凡) A
436142	133	72	Warrior's Tome (Beyond) A	战士魔法书 (超凡) A
355051	129	73	War Axe (Arcana) A	战斧 (至宝) A
355052	129	73	War Axe (Arcana) A	战斧 (至宝) A
316071	123	74	Dusk Bow (Beyond) A	黄昏之弓 (超凡) A
316072	123	74	Dusk Bow (Beyond) A	黄昏之弓 (超凡) A
444051	120	75	Beast Bolt (Immortal) A	野兽弩矢 (不朽) A
444052	120	75	Beast Bolt (Immortal) A	野兽弩矢 (不朽) A
345041	117	76	Complete Crossbow (Arcana) A	完整弩 (至宝) A
345042	117	76	Complete Crossbow (Arcana) A	完整弩 (至宝) A
426091	115	77	Arcane Orb (Beyond) A	奥术法球 (超凡) A
426092	115	77	Arcane Orb (Beyond) A	奥术法球 (超凡) A
426171	115	78	Dimensional Orb (Beyond) A	次元宝珠 (超凡) A
426172	115	78	Dimensional Orb (Beyond) A	次元宝珠 (超凡) A
356071	115	79	Great Axe (Beyond) A	巨斧 (超凡) A
356072	115	79	Great Axe (Beyond) A	巨斧 (超凡) A
346091	109	80	Elite Crossbow (Beyond) A	精英弩 (超凡) A
346092	109	80	Elite Crossbow (Beyond) A	精英弩 (超凡) A
455071	106	81	Battle Hatchet (Arcana) A	战斗手斧 (至宝) A
455072	106	81	Battle Hatchet (Arcana) A	战斗手斧 (至宝) A
444041	103	82	Barbed Bolt (Immortal) A	倒刺弩箭 (不朽) A
444042	103	82	Barbed Bolt (Immortal) A	倒刺弩箭 (不朽) A
516171	103	83	Dimensional Armor (Beyond) A	次元铠甲 (超凡) A
516172	103	83	Dimensional Armor (Beyond) A	次元铠甲 (超凡) A
356171	103	84	Dimensional Axe (Beyond) A	次元斧 (超凡) A
356172	103	84	Dimensional Axe (Beyond) A	次元斧 (超凡) A
416091	103	85	Rune Arrow (Beyond) A	符文箭 (超凡) A
416092	103	85	Rune Arrow (Beyond) A	符文箭 (超凡) A
454031	97	86	Long Hatchet (Immortal) A	长柄手斧 (不朽) A
454032	97	86	Long Hatchet (Immortal) A	长柄手斧 (不朽) A
506171	93	87	Dimensional Helmet (Beyond) A	次元头盔 (超凡) A
506172	93	87	Dimensional Helmet (Beyond) A	次元头盔 (超凡) A
426141	92	88	Ancient Orb (Beyond) A	远古法球 (超凡) A
426142	92	88	Ancient Orb (Beyond) A	远古法球 (超凡) A
453021	89	89	Leather Hatchet (Legendary) A	皮革手斧 (传奇) A
453022	89	89	Leather Hatchet (Legendary) A	皮革手斧 (传奇) A
406171	88	90	Dimensional Shield (Beyond) A	次元盾 (超凡) A
406172	88	90	Dimensional Shield (Beyond) A	次元盾 (超凡) A
415171	87	91	Dimensional Arrow (Arcana) A	次元箭 (至宝) A
415172	87	91	Dimensional Arrow (Arcana) A	次元箭 (至宝) A
625051	87	92	Platinum Ring (Arcana) A	铂金戒指 (至宝) A
625052	87	92	Platinum Ring (Arcana) A	铂金戒指 (至宝) A
615041	83	93	Gold Earring (Arcana) A	黄金耳环 (至宝) A
615042	83	93	Gold Earring (Arcana) A	黄金耳环 (至宝) A
326111	83	94	Void Staff (Beyond) A	虚空法杖 (超凡) A
326112	83	94	Void Staff (Beyond) A	虚空法杖 (超凡) A
625041	82	95	Gold Ring (Arcana) A	金戒指 (至宝) A
625042	82	95	Gold Ring (Arcana) A	金戒指 (至宝) A
615051	81	96	Platinum Earring (Arcana) A	白金耳环 (至宝) A
615052	81	96	Platinum Earring (Arcana) A	白金耳环 (至宝) A
536171	78	97	Dimensional Boots (Beyond) A	次元靴 (超凡) A
536172	78	97	Dimensional Boots (Beyond) A	次元靴 (超凡) A
336171	77	98	Dimensional Scepter (Beyond) A	次元权杖 (超凡) A
336172	77	98	Dimensional Scepter (Beyond) A	次元权杖 (超凡) A
406141	77	99	Radiant Shield (Beyond) A	光辉盾 (超凡) A
406142	77	99	Radiant Shield (Beyond) A	光辉盾 (超凡) A
526171	76	100	Dimensional Gloves (Beyond) A	次元手套 (超凡) A
526172	76	100	Dimensional Gloves (Beyond) A	次元手套 (超凡) A
